meter_id,timestamp,voltage,current,power,temperature,frequency,power_factor,is_anomaly
ANM-001,2025-01-06T00:00:00,226.5,6.329,1.066,32.28,50.07,0.907,1
ANM-001,2025-01-06T01:00:00,223.96,13.428,2.599,33.2,50.061,0.9,1
ANM-001,2025-01-06T02:00:00,224.6,7.066,1.465,32.8,50.239,0.926,1
ANM-001,2025-01-06T03:00:00,228.01,5.906,1.066,34.32,49.946,0.909,1
ANM-001,2025-01-06T04:00:00,230.67,5.803,1.299,34.89,49.855,0.914,1
ANM-001,2025-01-06T05:00:00,226.56,8.18,1.734,36.29,49.909,0.924,1
ANM-001,2025-01-06T06:00:00,229.12,2.964,0.523,37.66,50.059,0.916,1
ANM-001,2025-01-06T07:00:00,230.93,5.549,1.46,38.81,50.059,0.92,1
ANM-001,2025-01-06T08:00:00,236.93,30.437,6.461,41.13,50.092,0.892,1
ANM-001,2025-01-06T09:00:00,239.91,54.138,11.763,41.13,49.789,0.895,1
ANM-001,2025-01-06T10:00:00,239.38,57.689,12.913,42.25,49.904,0.935,1
ANM-001,2025-01-06T11:00:00,234.36,63.579,13.714,42.41,50.18,0.909,1
ANM-001,2025-01-06T12:00:00,225.88,67.863,14.135,43.04,49.824,0.932,1
ANM-001,2025-01-06T13:00:00,225.43,68.062,14.096,43.53,49.894,0.917,1
ANM-001,2025-01-06T14:00:00,234.74,61.535,13.417,42.23,50.046,0.918,1
ANM-001,2025-01-06T15:00:00,237.2,66.603,14.315,41.61,50.031,0.908,1
ANM-001,2025-01-06T16:00:00,229.27,67.017,13.825,41.17,49.989,0.911,1
ANM-001,2025-01-06T17:00:00,229.09,59.879,12.476,39.15,49.939,0.909,1
ANM-001,2025-01-06T18:00:00,235.68,58.221,12.279,37.94,49.99,0.924,1
ANM-001,2025-01-06T19:00:00,234.35,37.657,7.838,37.23,50.067,0.924,1
ANM-001,2025-01-06T20:00:00,236.95,21.101,4.48,34.64,50.056,0.944,1
ANM-001,2025-01-06T21:00:00,229.88,16.806,3.651,34.6,50.009,0.909,1
ANM-001,2025-01-06T22:00:00,231.16,11.872,2.719,33.2,49.875,0.904,1
ANM-001,2025-01-06T23:00:00,233.46,11.246,2.612,33.97,50.072,0.914,1
ANM-001,2025-01-07T00:00:00,235.93,8.453,1.76,32.86,50.009,0.925,1
ANM-001,2025-01-07T01:00:00,223.26,9.312,1.996,32.86,49.948,0.917,1
ANM-001,2025-01-07T02:00:00,225.83,8.134,1.833,33.4,50.097,0.947,1
ANM-001,2025-01-07T03:00:00,233.97,7.16,1.461,34.05,50.128,0.924,1
ANM-001,2025-01-07T04:00:00,232.65,10.732,1.934,35.93,49.961,0.902,1
ANM-001,2025-01-07T05:00:00,224.76,7.526,1.464,36.24,50.1,0.899,1
ANM-001,2025-01-07T06:00:00,240.05,7.024,1.722,36.72,49.937,0.943,1
ANM-001,2025-01-07T07:00:00,235.33,8.57,1.696,38.6,50.136,0.906,1
ANM-001,2025-01-07T08:00:00,232.12,29.233,6.336,40.0,49.992,0.931,1
ANM-001,2025-01-07T09:00:00,228.6,52.852,11.111,41.99,50.106,0.899,1
ANM-001,2025-01-07T10:00:00,234.61,60.529,12.69,42.26,49.92,0.899,1
ANM-001,2025-01-07T11:00:00,226.03,68.696,13.886,42.87,50.171,0.897,1
ANM-001,2025-01-07T12:00:00,229.55,64.62,13.992,43.99,49.868,0.919,1
ANM-001,2025-01-07T13:00:00,228.62,65.666,14.144,42.63,49.937,0.929,1
ANM-001,2025-01-07T14:00:00,226.89,67.262,14.259,43.19,49.918,0.942,1
ANM-001,2025-01-07T15:00:00,242.3,64.931,14.011,42.77,50.02,0.892,1
ANM-001,2025-01-07T16:00:00,219.24,71.493,14.249,40.76,50.031,0.921,1
ANM-001,2025-01-07T17:00:00,233.04,65.433,13.903,39.7,49.766,0.914,1
ANM-001,2025-01-07T18:00:00,221.75,57.031,11.82,38.89,49.952,0.932,1
ANM-001,2025-01-07T19:00:00,227.12,39.127,7.938,37.9,49.871,0.916,1
ANM-001,2025-01-07T20:00:00,232.47,20.071,4.149,35.56,50.03,0.894,1
ANM-001,2025-01-07T21:00:00,227.13,16.953,3.858,34.25,49.925,0.955,1
ANM-001,2025-01-07T22:00:00,231.48,14.131,3.3,34.13,49.924,0.94,1
ANM-001,2025-01-07T23:00:00,232.8,9.667,2.065,33.21,50.053,0.897,1
ANM-001,2025-01-08T00:00:00,238.52,6.51,1.45,32.59,50.099,0.89,1
ANM-001,2025-01-08T01:00:00,223.04,13.94,2.913,34.26,49.848,0.933,1
ANM-001,2025-01-08T02:00:00,239.26,4.783,0.967,33.1,49.991,0.901,1
ANM-001,2025-01-08T03:00:00,239.04,8.595,2.017,34.53,49.962,0.915,1
ANM-001,2025-01-08T04:00:00,234.76,7.346,1.526,36.23,50.199,0.888,1
ANM-001,2025-01-08T05:00:00,228.12,4.869,1.207,36.26,49.919,0.955,1
ANM-001,2025-01-08T06:00:00,236.6,2.831,0.935,37.85,50.097,0.899,1
ANM-001,2025-01-08T07:00:00,227.55,7.883,1.556,39.9,50.016,0.936,1
ANM-001,2025-01-08T08:00:00,228.01,25.498,5.369,41.45,49.973,0.924,1
ANM-001,2025-01-08T09:00:00,224.2,54.085,11.216,42.95,50.053,0.914,1
ANM-001,2025-01-08T10:00:00,229.31,60.8,12.563,43.43,49.879,0.896,1
ANM-001,2025-01-08T11:00:00,225.74,63.902,13.673,42.53,49.857,0.942,1
ANM-001,2025-01-08T12:00:00,228.6,68.035,14.156,43.15,49.917,0.889,1
ANM-001,2025-01-08T13:00:00,226.67,73.546,15.117,44.38,50.085,0.899,1
ANM-001,2025-01-08T14:00:00,231.62,59.436,13.017,43.71,49.819,0.929,1
ANM-001,2025-01-08T15:00:00,226.32,64.188,13.446,42.81,50.034,0.915,1
ANM-001,2025-01-08T16:00:00,224.07,65.218,13.641,41.14,49.996,0.894,1
ANM-001,2025-01-08T17:00:00,228.03,63.508,13.27,39.83,50.045,0.921,1
ANM-001,2025-01-08T18:00:00,227.34,58.796,12.044,39.01,49.891,0.921,1
ANM-001,2025-01-08T19:00:00,231.29,37.774,8.126,37.74,50.235,0.957,1
ANM-001,2025-01-08T20:00:00,225.54,22.46,4.472,36.06,49.967,0.914,1
ANM-001,2025-01-08T21:00:00,235.3,22.824,4.401,35.42,49.952,0.904,1
ANM-001,2025-01-08T22:00:00,229.72,13.038,2.581,34.43,49.989,0.883,1
ANM-001,2025-01-08T23:00:00,240.85,8.91,2.055,34.31,50.064,0.929,1
ANM-001,2025-01-09T00:00:00,224.08,6.547,1.194,33.86,49.81,0.894,1
ANM-001,2025-01-09T01:00:00,224.91,12.286,2.513,33.73,50.096,0.925,1
ANM-001,2025-01-09T02:00:00,231.13,6.195,1.34,34.44,50.1,0.934,1
ANM-001,2025-01-09T03:00:00,233.62,4.445,1.155,34.51,50.105,0.933,1
ANM-001,2025-01-09T04:00:00,223.92,6.9,1.678,35.75,50.008,0.888,1
ANM-001,2025-01-09T05:00:00,232.96,5.603,1.521,38.68,50.112,0.941,1
ANM-001,2025-01-09T06:00:00,223.73,6.542,1.004,38.55,50.136,0.928,1
ANM-001,2025-01-09T07:00:00,229.06,4.917,1.249,39.5,50.03,0.919,1
ANM-001,2025-01-09T08:00:00,224.8,38.241,7.448,41.98,50.24,0.858,1
ANM-001,2025-01-09T09:00:00,235.06,54.652,11.638,42.23,49.941,0.929,1
ANM-001,2025-01-09T10:00:00,228.45,59.701,12.714,44.44,50.106,0.911,1
ANM-001,2025-01-09T11:00:00,240.36,60.207,13.745,44.85,50.13,0.93,1
ANM-001,2025-01-09T12:00:00,226.11,65.257,13.537,44.65,50.173,0.916,1
ANM-001,2025-01-09T13:00:00,218.82,72.531,14.675,44.27,50.041,0.913,1
ANM-001,2025-01-09T14:00:00,226.79,65.32,13.691,43.87,49.829,0.937,1
ANM-001,2025-01-09T15:00:00,218.45,74.206,14.471,43.65,50.101,0.885,1
ANM-001,2025-01-09T16:00:00,235.07,61.447,13.728,42.81,49.777,0.93,1
ANM-001,2025-01-09T17:00:00,235.37,59.796,13.342,41.13,50.028,0.941,1
ANM-001,2025-01-09T18:00:00,240.39,54.61,12.316,39.39,49.96,0.926,1
ANM-001,2025-01-09T19:00:00,227.85,39.01,8.005,38.19,50.133,0.908,1
ANM-001,2025-01-09T20:00:00,232.76,19.087,4.206,37.47,49.878,0.918,1
ANM-001,2025-01-09T21:00:00,224.82,19.24,3.756,36.69,49.881,0.904,1
ANM-001,2025-01-09T22:00:00,229.94,15.372,3.295,35.95,49.926,0.935,1
ANM-001,2025-01-09T23:00:00,228.01,15.66,2.997,35.05,50.027,0.932,1
ANM-001,2025-01-10T00:00:00,230.46,5.273,0.973,34.13,49.953,0.887,1
ANM-001,2025-01-10T01:00:00,223.5,9.154,1.843,34.66,50.214,0.914,1
ANM-001,2025-01-10T02:00:00,227.99,9.856,2.028,34.53,50.11,0.911,1
ANM-001,2025-01-10T03:00:00,230.87,3.458,0.796,35.86,49.962,0.943,1
ANM-001,2025-01-10T04:00:00,233.41,2.857,0.494,37.0,49.967,0.914,1
ANM-001,2025-01-10T05:00:00,220.85,5.693,1.048,38.24,50.07,0.861,1
ANM-001,2025-01-10T06:00:00,218.83,6.442,0.948,39.46,50.155,0.87,1
ANM-001,2025-01-10T07:00:00,232.08,4.987,1.103,41.24,49.941,0.923,1
ANM-001,2025-01-10T08:00:00,219.0,37.04,6.611,43.23,49.941,0.869,1
ANM-001,2025-01-10T09:00:00,227.95,59.11,12.034,43.62,50.133,0.909,1
ANM-001,2025-01-10T10:00:00,223.66,59.972,13.142,43.9,50.16,0.931,1
ANM-001,2025-01-10T11:00:00,218.1,64.547,13.214,45.28,49.72,0.919,1
ANM-001,2025-01-10T12:00:00,223.14,65.51,13.312,46.24,49.957,0.912,1
ANM-001,2025-01-10T13:00:00,224.78,74.852,15.113,45.44,49.933,0.863,1
ANM-001,2025-01-10T14:00:00,224.44,68.264,14.092,44.84,49.876,0.906,1
ANM-001,2025-01-10T15:00:00,231.59,62.403,13.3,44.49,50.046,0.924,1
ANM-001,2025-01-10T16:00:00,228.63,67.388,13.878,42.0,49.995,0.894,1
ANM-001,2025-01-10T17:00:00,225.29,62.396,12.733,41.89,50.13,0.872,1
ANM-001,2025-01-10T18:00:00,233.31,59.21,12.389,40.92,50.06,0.907,1
ANM-001,2025-01-10T19:00:00,232.96,34.189,8.111,38.77,49.903,0.945,1
ANM-001,2025-01-10T20:00:00,232.05,28.884,5.947,37.32,49.916,0.897,1
ANM-001,2025-01-10T21:00:00,230.38,24.059,4.732,36.76,50.113,0.915,1
ANM-001,2025-01-10T22:00:00,233.3,15.276,3.251,36.16,49.92,0.958,1
ANM-001,2025-01-10T23:00:00,229.62,11.621,2.996,34.88,50.136,0.944,1
ANM-001,2025-01-11T00:00:00,227.96,10.421,1.802,35.86,50.074,0.911,1
ANM-001,2025-01-11T01:00:00,228.21,10.418,2.111,35.27,49.914,0.914,1
ANM-001,2025-01-11T02:00:00,223.69,8.451,1.946,35.98,49.922,0.887,1
ANM-001,2025-01-11T03:00:00,226.54,7.761,1.543,35.67,50.002,0.889,1
ANM-001,2025-01-11T04:00:00,223.55,3.509,1.374,37.58,50.121,0.923,1
ANM-001,2025-01-11T05:00:00,224.43,10.308,2.268,39.73,49.865,0.925,1
ANM-001,2025-01-11T06:00:00,224.46,7.485,1.586,40.4,50.026,0.894,1
ANM-001,2025-01-11T07:00:00,224.73,5.199,1.222,42.12,50.11,0.953,1
ANM-001,2025-01-11T08:00:00,226.12,38.056,7.587,42.38,49.952,0.909,1
ANM-001,2025-01-11T09:00:00,230.55,55.269,11.679,44.81,50.079,0.917,1
ANM-001,2025-01-11T10:00:00,233.91,65.789,13.55,45.95,49.881,0.921,1
ANM-001,2025-01-11T11:00:00,241.94,62.363,13.788,46.16,49.878,0.894,1
ANM-001,2025-01-11T12:00:00,227.9,64.085,13.73,46.28,50.052,0.913,1
ANM-001,2025-01-11T13:00:00,231.06,67.15,14.574,45.97,49.934,0.917,1
ANM-001,2025-01-11T14:00:00,234.26,67.004,14.531,45.42,50.125,0.903,1
ANM-001,2025-01-11T15:00:00,229.45,68.6,13.73,45.36,50.112,0.88,1
ANM-001,2025-01-11T16:00:00,231.09,67.035,14.168,44.34,50.12,0.889,1
ANM-001,2025-01-11T17:00:00,231.72,57.55,12.729,42.41,49.917,0.914,1
ANM-001,2025-01-11T18:00:00,229.73,53.585,11.931,41.31,49.941,0.904,1
ANM-001,2025-01-11T19:00:00,246.21,41.166,8.665,40.3,50.125,0.915,1
ANM-001,2025-01-11T20:00:00,229.26,25.442,5.427,39.0,49.817,0.918,1
ANM-001,2025-01-11T21:00:00,226.78,16.585,3.431,39.14,49.957,0.912,1
ANM-001,2025-01-11T22:00:00,221.86,14.985,3.212,36.91,50.099,0.922,1
ANM-001,2025-01-11T23:00:00,224.99,11.916,2.284,36.05,49.972,0.902,1
ANM-001,2025-01-12T00:00:00,239.53,8.615,1.71,36.19,50.075,0.878,1
ANM-001,2025-01-12T01:00:00,233.43,10.604,2.095,36.11,50.112,0.943,1
ANM-001,2025-01-12T02:00:00,229.21,7.553,1.693,37.23,50.039,0.927,1
ANM-001,2025-01-12T03:00:00,238.03,12.99,2.322,37.3,50.026,0.951,1
ANM-001,2025-01-12T04:00:00,223.14,7.223,1.173,38.73,49.98,0.937,1
ANM-001,2025-01-12T05:00:00,230.74,4.421,0.655,39.69,50.058,0.907,1
ANM-001,2025-01-12T06:00:00,227.21,7.787,1.59,41.06,49.901,0.931,1
ANM-001,2025-01-12T07:00:00,238.53,9.634,2.248,42.53,50.042,0.88,1
ANM-001,2025-01-12T08:00:00,224.83,35.832,7.066,43.98,49.993,0.873,1
ANM-001,2025-01-12T09:00:00,229.47,56.259,11.894,45.84,49.901,0.915,1
ANM-001,2025-01-12T10:00:00,225.96,60.242,12.129,45.53,49.764,0.91,1
ANM-001,2025-01-12T11:00:00,223.75,65.054,13.68,47.1,50.253,0.913,1
ANM-001,2025-01-12T12:00:00,224.89,62.373,14.112,47.47,49.916,0.925,1
ANM-001,2025-01-12T13:00:00,222.63,68.48,13.742,47.36,49.958,0.914,1
ANM-001,2025-01-12T14:00:00,240.29,61.418,13.83,46.49,49.863,0.931,1
ANM-001,2025-01-12T15:00:00,230.28,65.171,13.879,45.61,50.17,0.916,1
ANM-001,2025-01-12T16:00:00,221.66,68.292,14.1,44.3,50.236,0.95,1
ANM-001,2025-01-12T17:00:00,228.91,60.474,12.811,43.44,49.964,0.926,1
ANM-001,2025-01-12T18:00:00,231.09,58.531,12.025,43.1,49.972,0.929,1
ANM-001,2025-01-12T19:00:00,235.58,35.748,7.723,39.7,50.253,0.935,1
ANM-001,2025-01-12T20:00:00,234.08,20.402,4.604,39.22,50.086,0.899,1
ANM-001,2025-01-12T21:00:00,236.93,17.756,3.597,39.02,50.004,0.927,1
ANM-001,2025-01-12T22:00:00,229.88,14.143,2.793,37.32,50.076,0.912,1
ANM-001,2025-01-12T23:00:00,228.47,13.481,2.717,36.88,50.012,0.899,1
ANM-001,2025-01-13T00:00:00,222.61,9.965,1.846,36.51,49.996,0.881,1
ANM-001,2025-01-13T01:00:00,220.38,9.758,1.893,37.74,49.945,0.917,1
ANM-001,2025-01-13T02:00:00,227.61,10.108,2.364,37.88,50.046,0.893,1
ANM-001,2025-01-13T03:00:00,232.31,5.392,1.2,38.77,49.907,0.861,1
ANM-001,2025-01-13T04:00:00,226.82,8.845,1.639,39.63,50.119,0.909,1
ANM-001,2025-01-13T05:00:00,232.14,8.407,1.338,40.53,50.043,0.918,1
ANM-001,2025-01-13T06:00:00,225.92,7.664,1.193,42.1,50.083,0.917,1
ANM-001,2025-01-13T07:00:00,233.13,8.09,1.892,44.54,50.09,0.903,1
ANM-001,2025-01-13T08:00:00,222.54,28.588,6.996,44.03,49.934,0.926,1
ANM-001,2025-01-13T09:00:00,226.54,55.107,11.979,46.19,49.963,0.918,1
ANM-001,2025-01-13T10:00:00,224.22,60.745,12.733,46.08,50.046,0.905,1
ANM-001,2025-01-13T11:00:00,226.28,64.148,13.712,47.6,50.116,0.915,1
ANM-001,2025-01-13T12:00:00,234.75,67.211,14.117,49.09,50.077,0.883,1
ANM-001,2025-01-13T13:00:00,235.5,63.754,13.632,47.51,50.259,0.914,1
ANM-001,2025-01-13T14:00:00,230.95,64.939,13.775,47.04,50.015,0.94,1
ANM-001,2025-01-13T15:00:00,225.52,68.084,14.41,46.36,50.037,0.935,1
ANM-001,2025-01-13T16:00:00,225.54,71.444,14.267,45.94,49.915,0.876,1
ANM-001,2025-01-13T17:00:00,221.49,59.82,12.794,44.59,50.019,0.936,1
ANM-001,2025-01-13T18:00:00,228.12,60.893,12.122,42.67,49.907,0.905,1
ANM-001,2025-01-13T19:00:00,236.45,36.78,7.96,41.62,50.039,0.928,1
ANM-001,2025-01-13T20:00:00,234.78,23.137,4.6,39.84,50.062,0.917,1
